,access_date,type,country,cost,code,notes,note,pre,post_accept,post_decline,pass,accept_vendors,accept_legit,pre_vendors,pre_legit,decline_vendors,decline_legit,cmp,dec
"esports,com",2023-03-20,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,53
"etmm-online,com",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfNdbENDCCgAAAAAAAAAAigAAAAAAFAoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDAkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBgaAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwRATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYKgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMGQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGDoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDCEBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBhKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwpATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYA,CPrL07APrL07AAfNdbENDCCoAP_AAH_AAAigIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgIGQFwADAAXABOACqAFgAWgAyACIAEyAJwAngB-gEQARIAmABRACkAH6ARYAuYBgQDhAJkAW0AvMCBgBQKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwJATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYGgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMEQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGCoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDBkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBg6AmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwhATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYSgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMKQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGA,CPrL07APrL07AAfNdbENDCCgAAAAAAAAAAigAAAAAAFAoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDAkBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBgaAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwRATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYKgJgAGAAuACcAFUALAAtABkAEQAJkATgBPgEQARIAmABRACkAH6AXMBMgC2gF5gQMGQEwADAAXABOACqAFgAWgAyACIAEyAJwAnwCIAIkATAAogBSAD9ALmAmQBbQC8wIGDoCYABgALgAnABVACwALQAZABEACZAE4AT4BEAESAJgAUQApAB-gFzATIAtoBeYEDCEBMAAwAFwATgAqgBYAFoAMgAiABMgCcAJ8AiACJAEwAKIAUgA_QC5gJkAW0AvMCBhKAmAAYAC4AJwAVQAsAC0AGQARAAmQBOAE-ARABEgCYAFEAKQAfoBcwEyALaAXmBAwpATAAMABcAE4AKoAWABaADIAIgATIAnACfAIgAiQBMACiAFIAP0AuYCZAFtALzAgYA,1,26,26,0,0,0,0,31,54
"factorynet,at",,,Austria,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,55
"fahrschule-online,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrNTr0PrNTsxAcABBENDCCsAP_AAH_AAAYgIXNf_X__b2_j-_5_f_t0eY1P9_7_v-0zjhfdl-8N3f_X_L8X52M7vF36pq4KuR4ku3LBIQVlHOHcDUmw6okVryPsbk2cr7NKJ7PEmnMbO2dYGH9_n13T-ZKY7_6vO__zvneQAgZCAGAAhAAQQAAAgKAAAAAAAAAASEAAAAAAAAAAAABAAgIkEELgCTDVuIAuzLHBm2jCKBECMKwkKgFABRQDC0QGEDq4KdlcBPrCJACgFAE4EQIcAUZMAgAAEgCQiACQI8EAgAIgEAAIAFQiEABGwCCwAsBAIABQDQsQIoAhAkIMCACIUwICgAAABACAAAAAAAAAAABAAAAAAAAAACAAAAAAAAAAAAAAAAAAACAOEgBAMGAhCEAAgQMDQAQGMDoAQDBgGMEAAIEKCkAIBjAEISgAECBg,f_gAD_gAAAAA","CPrNTuTPrNTwDAcABBENDCCgAAAAAAAAAAYgAAAAAADhIAQDBgIQhAAIEDA0AEBjA6AEAwYBjBAACBCgpACAYwBCEoABAgYA,YAAAAAAAAAAA",1,199,199,0,0,0,0,0,56
"falk,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAENAACQgAAALogBgDnAJEAugAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAP_AAENAACQgIxBFJCpNDWFAMHBdAJIgGYAU1sAQICQAABCAAwAFCAGA8IAA0QEAEAQAAAAAAAAAgVABAAAAAABEAACAAAAEAQFkAAQQgAAIAAAAAAEQQgBAAAgAAAAAAAAIAAABAwQAkACQIYKGBEAAhIAQCAAAgIABAACAAAMACEAYAAAAAAIAAIBAAgJEMAAAAAEAAQLogBgDnAJEAugA4JAkAAQABUADIAHIAPgBAADSAIgAigBMACeAG8AOYAfgBCACGgEQARIAlgBSgDDgH2AfoBAwCKAEaALmAYoA2gBuAD5AKHAXmAwYBhoDggHJgPHAhCBFIIAEABkAyECBgELg0AMAQ0A-wD8APkIgBgCGgH2AfgB8hUAIAJgC8xkAIAJgC8x0CQACoAGQAOQAfACAAGgAPoAiACKAEwAJ4AbwA5gB-AENAIgAiQBLAClAGGANGAfYB-gEDAIoARYAuYBigDaAG4AReAmQBQ4C8wGDAMNAZYA5MB44EUhwAoABAAFwAZABQAL0AfIBCAC4gGQgNNIQCgAMgBMADeAKUAfYBFAC5gGKANoA8cgACAAQBCglASAAQABkADgAHwAiABMAENAIgAiQBSwD7APwAuYBigDcAHyAReAvMBlgEISQAEAC5SA-ABUADIAHIAPgBAADSAIgAigBMACeAFIAOYAfgBDQCIAIkAUoA0YB9gH6ARYAuYBigDaAG4AReAocBeYDDQGWAOCAcmA8cCEIEUigAMAC4AMgIGAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAENAACQgAAALogBgDnAJEAugAAAA,YAAAAAAAAAAA",1,3,3,0,3,0,3,6,57
"fernsehserien,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,58
"filext,com",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,59
"finanzfrage,net",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAABAACQgAAAF1gAgF1AAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCsAP_AAAHAACQgIslV5D9dLGFBMXZ5YNsgSYUX1sARpmQCCBaAE6AFwAOA8IAEk0AAMARgACACABAAoADBIAAkDABEAUCQAAgFASHkIgSAgAAKIAAAAAMQAwAAAAsAAAAAEAAIhEAJIwAAmCqwYwrsRkAEhIAQAgAAgIgBAKABAgMACEEYAAAAAAIAAoAAAgIEEAAAAAECAusAEAuoBoSBaAAgABYAFQAMgAcgA8AEAAMgAaQBEAEUAJgATwAqgBvADmAHoAPwAhABDQCIAIkASwAmgBSgC3AGHAPsA_QCBgEaAI4AXMAxQBtADcAHEAPkAocBeYDBgGGgMkAayA4IB44EIQIXARSDQBAAuACGgH2AfgB8hEAMAQ0A-wD8APkKgCABMAC4ARwBeYyAGAEwAjgC8x0DAABYAFQAMgAcgA-AEAAMgAaAA-gCIAIoATAAngBVAC4AGIAN4AcwA9AB-AENAIgAiQBLACaAFKALEAW4AwwBowD7AP0AgYBFgCOAFzAMUAbQA3ABxADnAIvAUOAvMBgwDDQGSAMsAcWA8cCAIEUhwAQABAAFwEIANNIQEgAFgAZACYAFUALgAYgA3gB6AFKALEAfYBHAC5gGKANoAc4B44EKCAAEABBKAyAAgABYAGQAOAAfACIAEwAKoAXAAxACGgEQARIApQBbwD7APwAjgBcwDFAG4APkAi8BeYDLAIAgQhJAAQALlIE4ACwAKgAZAA5AB8AIAAZAA0gCIAIoATAAngBSACqAGIAOYAfgBDQCIAIkAUoAsQBbgDRgH2AfoBFgCOAFzAMUAbQA3ACLwFDgLzAYaAyQBlgDWQHBAPHAhCBFIoABAAuA,YAAAAAAAAAAA","eyJhbGciOiJSUzI1NiIsImtpZCI6ImNkcG04c1V6aWI1RlJneXlyc1I2Ui1tVmdHNEx5bmpFejdKZUlEeWY2WnMifQ,eyJhdXRoIjp0cnVlLCJ0eXBlIjoidHJpYWwiLCJwbGFucyI6WyI0OGU2NDk4Ny0zMDMyLTRhMzQtYmU1Yy00YjFiODQ0Mjk5NjgiXSwiYXVkIjoiN2JmNzVlOTMiLCJpYXQiOjE2ODMxMDM4MjEsImV4cCI6MTY4MzI4MDIyMX0,RNXAe3mFZVbt9yNCy4ghcMCj-1Sv8KPtw_QtCjQRefI2RuDEO1qVfdb6_kPdkZm06-e7eZuVdAzUCoaEtxihNH6DT0Mf5GDmleEtE4USzILDgd3Djgtz7Amlz2zh4mSGOMTylbjUWxp0wHQaMeybxqx7dITxeT-XMZ6aqdITaFj7zYr-beLE0tHyk18kT8oVwhEu7PhbCFbSObk8HW_5WvkKUwCmdjoKV1prUqF0keMuuOopoDRRJR-d4kIJmDZA2yjckQf6ft7dkBder3OAlGxxiPq82p5nOTJ0nredsalhjlWc8UVUHLC3gas-7T0P6zrrDg5MjxBP3KLYVzhyiQ",1,1,1,0,1,0,0,6,60
"firmenwagen,co,at",,,Austria,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,61
"form-werkzeug,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,62
"formel1,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,"CPrL07APrL07AAcABBENDCCsAP_AAH_AAAYgJaJT_T7VbWnj-f5_fvtkeYxH18S_Q-QACgSAB2ABgBOQ8D4Gw2IatESghigCIQIgq3JBIAIEHAEUSUAA4AAFAAGgAAgEhABIIAPEgBEQAAIYAAsKAAAgAACIgEARGACAvn-oIPbvW2Bg5IASQggQoAAAAIIBAgMADAAIAJIAAAIAgQgAAAAAAAIAAAAAAAAAAAAAAAAAAA9BLQAEwVaiAAsSxwJpowggRACCsACqBQAAUAQBEAAAAICHAXASiwCQAgAAAEAACBAFGTAIAABAAEAgAgAPAAIAAAAAAAAAAABAABoAAIAAAACAAEAQBAEAAAQAAAAAAAAECAqBAKAaygACgAAAEAAgAAAIBBAAAAAAgABAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAGYAAAAA,f_gAD_gAAAAA","CPrL07APrL07AAcABBENDCCgAAAAAAAAAAYgAAAAAAAA,YAAAAAAAAAAA",1,128,128,0,0,0,0,0,63
"forum,clubalfa,it",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,64
"fraenkische-rezepte,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",CPrL07APrL07AAfFuBDEDCCgAAAAAAAAAAYgAAAO2gCAA4AR4AwQB2wBQKAiAAoACoAIAATgAsABkAEWAJgAmgBPACoAHMAQAApQD0AH6AP6AloJARAAUABUAEAAJwAWAAyACLAEwATQAngBUADmAIAAUoB6AD9AH9AS0GgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaEQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtCoCIACgAKgAgABOACwAGQARYAmACaAE8AKgAcwBAAClAPQAfoA_oCWhkBEABQAFQAQAAnABYADIAIsATABNACeAFQAOYAgABSgHoAP0Af0BLQ6AiAAoACoAIAATgAsABkAEWAJgAmgBPACoAHMAQAApQD0AH6AP6AlohARAAUABUAEAAJwAWAAyACLAEwATQAngBUADmAIAAUoB6AD9AH9AS0SgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaKQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtA,CPrL07APrL07AAfFuBDEDCCsAP_AAH_AAAYgIXNV9X7fbWtHOX5_a_tkeYUX1tb94-QiChSAk6AFSXOA8KQG02AytEyAJAgCIBAAoFZBIARECElUQEAQYIBVBRHsAwwMpAAKIEJEABERE0AQAAsKAAAAAAAIgEBNKwSAmgjQQVLmREAA9IAwQgAAgIgBAAACAAMAXEAYQBAAAAIAgQBAAgIEEELmq-r9vtrWjnL8_tf2yPMKL62t-8fIRBQpASdACpLnAeFIDabAZWiZAEgQBEAgAUCsgkAIiBCSqICAIMEAqgoj2AYYGUgAFECEiAAiIiaAIAAWFAAAAAAAEQCAmlYJATQRoIKlzIiAAekAYIQAAQEQAgAABAAGALiAMIAgAAAEAQIAgAQECCAUCgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaCQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtBoCIACgAKgAgABOACwAGQARYAmACaAE8AKgAcwBAAClAPQAfoA_oCWhEBEABQAFQAQAAnABYADIAIsATABNACeAFQAOYAgABSgHoAP0Af0BLQqAiAAoACoAIAATgAsABkAEWAJgAmgBPACoAHMAQAApQD0AH6AP6AloZARAAUABUAEAAJwAWAAyACLAEwATQAngBUADmAIAAUoB6AD9AH9AS0OgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaIQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtEoCIACgAKgAgABOACwAGQARYAmACaAE8AKgAcwBAAClAPQAfoA_oCWikBEABQAFQAQAAnABYADIAIsATABNACeAFQAOYAgABSgHoAP0Af0BLQA,CPrL07APrL07AAfFuBDEDCCgAAAAAAAAAAYgAAAO2gCAA4AR4AwQB2wBQKAiAAoACoAIAATgAsABkAEWAJgAmgBPACoAHMAQAApQD0AH6AP6AloJARAAUABUAEAAJwAWAAyACLAEwATQAngBUADmAIAAUoB6AD9AH9AS0GgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaEQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtCoCIACgAKgAgABOACwAGQARYAmACaAE8AKgAcwBAAClAPQAfoA_oCWhkBEABQAFQAQAAnABYADIAIsATABNACeAFQAOYAgABSgHoAP0Af0BLQ6AiAAoACoAIAATgAsABkAEWAJgAmgBPACoAHMAQAApQD0AH6AP6AlohARAAUABUAEAAJwAWAAyACLAEwATQAngBUADmAIAAUoB6AD9AH9AS0SgIgAKAAqACAAE4ALAAZABFgCYAJoATwAqABzAEAAKUA9AB-gD-gJaKQEQAFAAVABAACcAFgAMgAiwBMAE0AJ4AVAA5gCAAFKAegA_QB_QEtA,1,302,302,0,4,0,4,31,65
"free-fonts,com",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCsAP_AAAAAACQgINAZ5D5cTWFBeXx7Qvs0eYwf11QVI2AiChKAI6ABSDIAcLQEkmASsAyAAAACIAwEIBIBAAAkCAEEAEAQQIAAABHkAgAEhAAIICJEABERAAAACAIKCAAAAQAIAAARIgEAmUCAQ0bmRHQAgIAQZAAAgAgAAAAEAgMAAAAAAIIAAAAAgAAAAQAAAJCIA4ABgBDAD8AJMAVkBIgCkRAAEAEgSBSAAYABYAFQAMgAcgA8AEAAMgAaAA8gCIAIoATAAngBvADmAH4AQgAhoBEAESAI4ASwAmgBSgC3AF8AMOAfgB-gEDAI4ASYAlIBWQDFAG4AOIAhsBIgCkQF5gMkAZcA1gIAHABIAH8Ac4CPQErALqAZCGgFAAGAC4AIYAfgBBQCTAFZALQAkQBSIYACAdQdA3AAMAAsACoAGQAOQAfACAAGQANAAeAA-gCIAIoATAAnwBcAF0AL4AYgAzABvADmAH4AQ0AiACJAEsAJoAUoAsQBbgC-AGGANGAfgB-gEDAIsARwAkwBKQCsgFoALqAYoA3ABxADqAIbAReAkQBeYC-gGJAMkAZYAy4BqoDWAINDgCIAFwASAA_ADQAH8AZoA5wB3AEFAIQAYEA14CPQErAJiAXUAyElAeAAMAAsADIAHAAPgA8ACIAEwALgAXwAxABmAENAIgAiQBHAClAFuAPwAjgBWQC0AF1AMUAbgA6gCLwEiALzAZYA1gkAHAAuALkAdwBrwD7AI9ASsMgCABMAEcARwBeYwACAj0VAGACYAFwARwBHAC0ALzFAAgCCgI9IQFQAFgAZACYAFwAL4AYgAzABvAEcALEAXwBHACUgFZALQAYoA6gCRAFtAMSAaqQADgBoAD-AOcAgoB2wEegJiKQKAADAALAAqABkADkAHwAgABkADQAHkARABFACYAE8AKQAXwAxABmADmAH4AQ0AiACJAFKALEAW4AvgBowD8AP0AiwBHACUgFZAMUAbgBF4CRAF5gL6AZIAywBlwDWCgA0AC4AJAAfgBtAEcALkAc4A7gC6gGvAO2Aj0BMQAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA",1,0,0,0,0,0,0,6,66
"freenet,de",2023-03-20,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,",,,,0,0,0,0,0,0,0,0,67
"funandnews,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAP_AAAAAACQgIxBFJCpNDWFAMHBdAJIgGYAV1sAQICQAAACAAwAFCAGA8IAA0QEAEAQAAAAAAAAAgVABAAAAAABEAACAAAAEAQFkAAQQgAAIAAAAAAEQQgBAAAgAAAAAAAAIgAABAwQAkACQIYLGBEAAhIAQCgAAgIgBAACAAAMACEAYAAAAAAIAAIBAAgJEMAAAAAEAAQAAAHBIEwACAAKgAZAA5AB8AIAAZAA0gCIAIoATAAngBvADmAH4AQgAhoBEAESAJYAUoAw4B9gH6AQMAigBGgC5gGKANoAbgA-QChwF5gMGAYaA1kBwQDkwHjgQhAikEACgDnAXQAyECBgELg0AMAQ0A-wD8APkIgBgCGgH2AfgB8hUAIAJgC8xkAIAJgC8x0CUACoAGQAOQAfACAAGQANAAfQBEAEUAJgATwA3gBzAD8AIaARABEgCWAFKAMMAaMA-wD9AIGARQAiwBcwDFAG0ANwAi8BMgChwF5gMGAYaAywByYDxwIpDgBYACAALgBQAHOAXoA-QCEAFxALoAZCA00hAKAAyAEwAN4ApQB9gEUALmAYoA2gDxyAAQABAA5wF0AQoJQEgAEAAZAA4AB8AIgATABDQCIAIkAUsA-wD8ALmAYoA3AB8gEXgLzAZYBCEkABAAuUgQgAVAAyAByAD4AQAAyABpAEQARQAmABPACkAHMAPwAhoBEAESAKUAaMA-wD9AIsAXMAxQBtADcAIvAUOAvMBhoDLAGsgOCAcmA8cCEIEUigAQAC4A5wCRAQMAAAA,f_gAAAAAAAAA","eyJhbGciOiJSUzI1NiIsImtpZCI6ImNkcG04c1V6aWI1RlJneXlyc1I2Ui1tVmdHNEx5bmpFejdKZUlEeWY2WnMifQ,eyJhdXRoIjp0cnVlLCJ0eXBlIjoidHJpYWwiLCJwbGFucyI6WyI0OGU2NDk4Ny0zMDMyLTRhMzQtYmU1Yy00YjFiODQ0Mjk5NjgiXSwiYXVkIjoiNTg2M2QzNmIiLCJpYXQiOjE2ODMxMDQxODAsImV4cCI6MTY4MzI4MDU4MH0,gI4UaT-h9af0JdHUak-XXYJBx3kzyfQj2FJZKKs5Sxk_z2KbHm8F3GLKR81l1FTRm9N83gbtw80FiSN1WJxC38apV55Sk4a4KSiIByTVIzgLmTjZ-zuMxQcncDfqGBcJjOyhwE1XWzhaUn9JvT1OK01kgoeO7jelTQ7EsZpDXwK8QK3t66sTWVC769uPBeMawxo6AAd3VhWuAqpA-e7uybGoKMOs3Lygl8y2wm49TgC0c1HwC9CEdUjiF5WSMKzjnyuxTa_01L2S7R7-OraZWRCy1um_kE0nKtlba14GjbHeME2Tp42D_YY4J4w2jWQP6c3s60rNnynAlp4ctgR0aQ",1,0,0,0,0,0,0,6,68
"fussballfieber,de",,,Germany,"{'currency': 'EUR', 'amount': 2,99, 'basis': 'monthly'}",,,"Is a contentpass,net partner,","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAP_AAAAAACQgIxBFJCpNDWFAMHBdAJIgGYAV1sAQICQAAACAAwAFCAGA8IAA0QEAEAQAAAAAAAAAgVABAAAAAABEAACAAAAEAQFkAAQQgAAIAAAAAAEQQgBAAAgAAAAAAAAIgAABAwQAkACQIYLGBEAAhIAQCgAAgIgBAACAAAMACEAYAAAAAAIAAIBAAgJEMAAAAAEAAQAAAHBIEwACAAKgAZAA5AB8AIAAZAA0gCIAIoATAAngBvADmAH4AQgAhoBEAESAJYAUoAw4B9gH6AQMAigBGgC5gGKANoAbgA-QChwF5gMGAYaA1kBwQDkwHjgQhAikEACgDnAXQAyECBgELg0AMAQ0A-wD8APkIgBgCGgH2AfgB8hUAIAJgC8xkAIAJgC8x0CUACoAGQAOQAfACAAGQANAAfQBEAEUAJgATwA3gBzAD8AIaARABEgCWAFKAMMAaMA-wD9AIGARQAiwBcwDFAG0ANwAi8BMgChwF5gMGAYaAywByYDxwIpDgBYACAALgBQAHOAXoA-QCEAFxALoAZCA00hAKAAyAEwAN4ApQB9gEUALmAYoA2gDxyAAQABAA5wF0AQoJQEgAEAAZAA4AB8AIgATABDQCIAIkAUsA-wD8ALmAYoA3AB8gEXgLzAZYBCEkABAAuUgQgAVAAyAByAD4AQAAyABpAEQARQAmABPACkAHMAPwAhoBEAESAKUAaMA-wD9AIsAXMAxQBtADcAIvAUOAvMBhoDLAGsgOCAcmA8cCEIEUigAQAC4A5wCRAQMAAAA,f_gAAAAAAAAA","CPrMGgAPrMGgAAGABCENDCCgAAAAAAAAACQgAAAAAAAA,YAAAAAAAAAAA",1,0,0,0,0,0,0,6,69
